https://github.com/theopolis/smc-fuzzer with tiny changes

*val.bytes: 0xed010000
*val.bytes: 0x1ed
num: 1ed (4)
  #KEY  [ui32]  237 (bytes 00 00 01 ed)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ACCL  [ui8 ]  2 (bytes 02)
  ACEN  [ui8 ]  1 (bytes 01)
  ACFP  [flag]  (bytes 01)
  ACIC  [ui16]  0 (bytes 10 00)
  ACID  [ch8*]  (bytes 85 ad 66 0a c0 13 aa e5)
  ACIN  [flag]  (bytes 01)
  ACLM  [ui16]  128 (bytes 11 80)
  ACdb  [flag]  (bytes 00)
  ACdl  [ui16]  202 (bytes 08 ca)
  ACic  [ui8 ]  2 (bytes 02)
  ADC0  [ui16]  243 (bytes 04 f3)
  ADC1  [ui16]  80 (bytes 02 50)
  ADC2  [ui16]  3 (bytes 00 03)
  ADC3  [ui16]  159 (bytes 0e 9f)
  ADC4  [ui16]  60 (bytes 02 3c)
  ADC5  [ui16]  30 (bytes 0a 1e)
  ADC6  [ui16]  37 (bytes 00 25)
  ADC7  [ui16]  68 (bytes 00 44)
  ADC8  [ui16]  170 (bytes 00 aa)
  ADC9  [ui16]  146 (bytes 00 92)
  ADCa  [ui16]  197 (bytes 00 c5)
  ADCb  [ui16]  119 (bytes 00 77)
  ADCc  [ui16]  3 (bytes 00 03)
  ADCd  [ui16]  35 (bytes 02 23)
  ADCe  [ui16]  0 (bytes 00 00)
  ADCf  [ui16]  5 (bytes 00 05)
  ADCg  [ui16]  219 (bytes 09 db)
  ADCh  [ui16]  101 (bytes 04 65)
  ADCi  [ui16]  9 (bytes 00 09)
  ADCj  [ui16]  0 (bytes 00 00)
  ADCk  [ui16]  230 (bytes 03 e6)
  ADCl  [ui16]  227 (bytes 01 e3)
  ADCm  [ui16]  6 (bytes 00 06)
  ADCn  [ui16]  2 (bytes 00 02)
  AL!   [ui16]  0 (bytes 00 00)
  ALCD  [fp88]  (bytes 0c b8)
  ALI0  [{ali]  (bytes 06 00 06 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALP0  [{alp]  (bytes 13 33 02 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 01 ec)
  ALSL  [ui16]  0 (bytes 00 00)
  ALV0  [{alv]  (bytes 01 01 00 04 00 01 00 00 00 00)
  ALV1  [{alv]  (bytes 00 01 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  B0AC  [si16]  (bytes 00 00)
  B0AV  [ui16]  148 (bytes 2f 94)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 51)
  B0CT  [ui16]  8 (bytes 03 08)
  B0FC  [ui16]  60 (bytes 13 3c)
  B0LI  [ui16]  0 (bytes 17 00)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  0 (bytes 00 00)
  B0RM  [ui16]  206 (bytes 12 ce)
  B0St  [hex_]  (bytes 40 e0)
  B0TF  [ui16]  255 (bytes ff ff)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  14 (bytes 0e)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  222 (bytes 0f de)
  BC2V  [ui16]  217 (bytes 0f d9)
  BC3V  [ui16]  222 (bytes 0f de)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  222 (bytes 0f de)
  BEMB  [flag]  (bytes 01)
  BFCL  [ui8 ]  95 (bytes 5f)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BIMX  [ui16]  49 (bytes 1f 31)
  BIPD  [ui16]  0 (bytes 00 00)
  BITV  [ui16]  0 (bytes 00 00)
  BLPT  [ch8*]  (bytes 01 01 04 1a 18 c9 2f 70 00 00 00 00 00 00 00 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  4 (bytes 04)
  BNum  [ui8 ]  1 (bytes 01)
  BPII  [sp78]  (bytes 00 00)
  BPIT  [sp78]  (bytes 0a 9a)
  BRII  [sp78]  (bytes 00 03)
  BRIT  [sp78]  (bytes 0a 89)
  BRLP  [ui16]  84 (bytes 00 54)
